Doc_names,Specializations,Qualifications,Experiences,Reviews,Fees
Dr. Saira Jabeen,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology), D-DERM Ireland",Year 10,711,2000
Dr. Shireen Ansari,"Dermatologist, Aesthetic Physician","MBBS, Diploma in Dermatology (UK)",Year 10,711,2000
Dr. Farzana Tanveer,"Dermatologist, Cosmetologist","MBBS, Diploma in Dermatology.",Year 25,711,3000
Dr. Aiman Fatimah,"Dermatologist, Aesthetic Physician, Cosmetologist","AAAM (USA), M.C.P.S",Year 25,674,3000
Dr. Farzana Abdullah,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology), Specialty Certificate in Dermatology (UK)",Year 20,674,2500
Brig. (R) Prof. Dr. Asher Ahmed Mashhood,"Dermatologist, Aesthetic Physician, Cosmetologist","MBBS, FCPS (Dermatology)",Year 20,674,2500
Assist. Prof. Dr. Mahvish Aftab Khan,"Dermatologist, Cosmetologist","M.B.B.S., F.C.P.S. (Dermatology), AAAM (USA)",Year 8,814,2000
Dr. Rahila Shah,"Dermatologist, Aesthetic Physician","MBBS, D.Derm (UK)",Year 8,814,2000
Dr. Shumaila Jawed,"Dermatologist, Cosmetologist","MBBS, MCPS (Dermatology)",Year 6,814,2000
Dr. Malik Aftab Afzal,"Dermatologist, Cosmetologist","MD, MSPH, DCDD",Year 6,650,2000
Dr. Lubna Rani,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology), MHPE",Year 33,650,2000
Dr. Aasma Tayyab,"Dermatologist, Laser Specialist, Cosmetologist","MBBS, MSc (Clinical Dermatology) UK, Certified in all anti-aging and aesthetic treatments",Year 33,650,2000
Dr. Attia Tabassum,"Dermatologist, Cosmetologist","M.B.B.S., F.C.P.S (Dermatology)",Year 22,76,2000
Dr. Zartash Arshad,"Dermatologist, Aesthetic Physician, Cosmetologist","M.B.B.S., M.C.P.S",Year 22,76,2000
Dr. Muhammad Khurram Ahmad,"Dermatologist, Aesthetic Physician, Laser Specialist, Cosmetologist","MBBS, FCPS (Dermatology)",Year 25,76,2500
