Doc_names,Specializations,Qualifications,Experiences,Reviews,Fees
Dr. Saira Jabeen,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology), D-DERM Ireland",Year 10,711,2000
Dr. Tahir Kamal,"Dermatologist, Cosmetic Surgeon, Cosmetologist","MBBS, FCPS (Dermatology), MAACS (USA), DDSC (UK)",Year 10,711,2000
Dr. Adnan Mehmood,"Dermatologist, Hair Transplant Surgeon","MBBS, MD (Dermatology), Post Graduation Diploma in Aesthetic Dermatology",Year 30,711,4500
Assoc. Prof. Dr. Uzma Sarwar,"Dermatologist, Aesthetic Physician, Cosmetologist","MBBS, FCPS (Dermatology), CHPE, Certified in Aesthetic Physician",Year 30,793,4500
Dr. Saira Hameed,"Dermatologist, Cosmetologist","M.B.B.S, F.C.P.S (Dermatology), M.C.P.S",Year 20,793,2000
Assoc. Prof. Dr. Talat Masood Akbar,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology)",Year 20,793,2000
Dr. Mahru Usman,"Dermatologist, Cosmetologist","MBBS, MCPS (Dermatology), Certificate in Aesthetic Medicine (USA)",Year 18,2282,3000
Brig.(R) Dr. Rehan Uddin,"Dermatologist, Cosmetologist","M.B.B.S., F.C.P.S. (Dermatology)",Year 18,2282,3000
Assist. Prof. Dr. Saadiya Siddiqui,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology)",Year 14,2282,3000
Dr. Zaira Aslam,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology)",Year 14,556,3000
Dr. Madiha Kashan Kash,"Dermatologist, Cosmetologist","M.B.B.S., F.C.P.S. (Dermatology)",Year 19,556,1000
Dr. Tayyaba Zahid,"Dermatologist, Cosmetologist","MBBS, Professional Diploma in Dermatology (Ireland)",Year 19,556,1000
Dr. Wajieha Saeed,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology)",Year 13,1935,1500
Dr. Quratul Ain Sajida,"Dermatologist, Cosmetologist","MBBS, MCPS (Dermatology)",Year 13,1935,1500
Dr. Farooq Tajammal Khan,"Dermatologist, Cosmetologist, Plastic Surgeon","F.C.P.S. (Plastic Surgery), D.Derm (London), F.R.C.S. (UK)",Year 30,1935,4000
Dr. Saba Hameed,"Dermatologist, Aesthetic Physician","MBBS, Diploma in Clinical Dermatology (London), AARM, AAPP",Year 30,251,4000
Dr. Nida Eily,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology)",Year 18,251,2000
Assist. Prof. Dr. Rabia Ishfaq,"Dermatologist, Laser Specialist, Cosmetologist","M.B.B.S, F.C.P.S (Dermatology)",Year 18,251,2000
Dr. Alina Abbas,"Dermatologist, Cosmetologist","M.B.B.S., F.C.P.S.",Year 10,224,2500
Dr. Farhana Nazir,"Dermatologist, Laser Specialist, Cosmetologist","M.B.B.S., M.C.P.S",Year 10,224,2500
Dr. Attia Tabassum,"Dermatologist, Cosmetologist","M.B.B.S., F.C.P.S (Dermatology)",Year 13,224,2000
Dr. Bushra Muneeb,"Dermatologist, Aesthetic Physician","MBBS, MD (Dermatology)",Year 13,441,2000
Lt. Col. (R) Dr. Muhammad Amjad,"Dermatologist, Cosmetologist","MBBS, MCPS (Dermatology), FCPS (Dermatology)",Year 10,441,2000
Dr. Rabia Imran,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology)",Year 10,441,2000
Dr. Hafiz Ahmed Haroon Amin,"Dermatologist, Cosmetologist","M.B.B.S., M.C.P.S",Year 16,285,3000
Dr. Fatima Bashir,"Dermatologist, Cosmetologist","M.B.B.S, F.C.P.S (Dermatology)",Year 16,285,3000
Dr. Neelofer Sadia,Dermatologist,"MBBS, MCPS (Dermatology)",Year 32,285,1500
Dr. Shahbaz Ali,"Dermatologist, Cosmetologist, Hair Transplant Surgeon","MBBS, MD Dermatology",Year 32,23,1500
Dr. Asma Kanwal Jawad,"Dermatologist, Aesthetic Physician, Laser Specialist, Cosmetologist","MBBS, DIP in DERMATOLOGY (MD Dermatology)",Year 35,23,2000
Dr. Uzma Khalil,"Dermatologist, Cosmetologist","M.B.B.S, M.C.P.S",Year 35,23,2000
Dr. Muneeza Qamar,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology)",Year 12,238,1500
Dr. Aisha Ahmad,"Dermatologist, Cosmetologist","MBBS, FCPS (Derma), American Academy of Aesthetics and Dermatology",Year 12,238,1500
Dr. Sumaira Rashid,"Cosmetologist, Dermatologist","MBBS, FCPS (Dermatology)",Year 10,238,2000
Dr. Rabia Shaukat,"Dermatologist, Cosmetologist","M.B.B.S, F.C.P.S. (Dermatology)",Year 10,10,2000
Prof. Dr. Azam Bukhari,Dermatologist,"MBBS, M.Sc (Dermatology),  FCPS (Dermatology), MCPS (Dermatology)",Year 17,10,1250
Dr. Asim Ali Malik,"Dermatologist, Cosmetologist","M.B.B.S, M.R.C.P.S (UK), Dip. In Dermatology (D-Derm) (UK)",Year 17,10,1250
Dr. Waqar Malik,"Dermatologist, Cosmetologist","M.B.B.S., M.Sc Clinical Dermatology (UK), Professional Diploma in Facial Aesthetic, Certified in Dermal Fillers, PRGF, Microneedling & Mesotherapy",Year 8,1526,2500
Dr. Ashba Nasir Cheema,"Dermatologist, Laser Specialist, Cosmetologist","M.B.B.S., M.C.P.S, M.D.",Year 8,1526,2500
Dr. Sania Javaid,"Dermatologist, Aesthetic Physician, Cosmetologist","MBBS, MCPS (Dermatology), Dip. in Dermatology, Certified in Advanced Cosmetology, Certified in Advanced Injectables",Year 10,1526,3000
Dr. Tauqir Haider,"Dermatologist, Cosmetologist","MBBS, MCCEE",Year 10,1964,3000
Dr. Amna Saeed,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology)",Year 10,1964,2000
Dr. Shanza Ikram,Dermatologist,"MBBS, FCPS (Dermatology)",Year 10,1964,2000
Dr. Khadija Malik,"Dermatologist, Laser Specialist, Cosmetologist","M.B.B.S., F.C.P.S. (Dermatology)",Year 9,583,2000
Assoc. Prof. Dr. Ghazala Butt,"Dermatologist, Laser Specialist, Cosmetologist","M.B.B.S, M.D (Dermatology), Ph.D",Year 9,583,2000
Dr. Chaudhary Muhammad Tahir,"Dermatologist, Cosmetologist","MBBS, DDSc (Diplomat in Dermatological Sciences),  WALES, UK, MPAD (Pak), ME-ADV (Belgium)",Year 33,583,5000
Dr. Kehkshan Tahir,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology)",Year 33,77,5000
Dr. Asma Shakir,"Dermatologist, Laser Specialist, Cosmetologist","M.B.B.S, F.C.P.S. (Dermatology)",Year 10,77,3000
Dr. Shahbano Jawad,"Dermatologist, Cosmetologist","MBBS, FCPS (Dermatology)",Year 10,77,3000
Assist. Prof. Dr. Asia Hafeez,"Dermatologist, Aesthetic Physician","M.D., MBBS",Year 10,158,4000
