Doc_names,Specializations,Qualifications,Experiences,Reviews,Fees
Dr. Saddiqa Akhtar,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 12,469,1500
Dr. Farzana Nawaz,"Gynecologist, Obstetrician","MBBS, MCPS (Gynecology and Obstetrics), MRCOG  (Gynecology and Obstetrics)",Year 12,469,1500
Assoc. Prof. Dr. Tasneem Akhtar,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S. (Gynecology & Obstetrician), M.C.P.S",Year 30,469,3500
Dr. Samina Arshad,"Gynecologist, Fertility Consultant, Obstetrician","M.B.B.S., M.C.P.S, IAMU (USA), CDMU (PK)",Year 30,18,3500
Dr. Bushra Khan,"Gynecologist, Obstetrician","MBBS, MS (Obstetrics and Gynaecology)",Year 20,18,4800
Dr. Mehar Jabeen Ali,"Gynecologist, Obstetrician","MBBS, MCPS (Obstetrics & Gynaecology)",Year 20,18,4800
Dr. Ambreen Naveed Haq,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrics), MCPS (Gynecology & Obstetrics), MPH (University of Liverpool)",Year 20,836,2500
Prof. Dr. Ghazala Sadiq,"Gynecologist, Obstetrician","F.C.P.S. (Gynecology & Obstetrician), M.C.P.S, Dip. in Med Edu (UK), M.B.B.S",Year 20,836,2500
Dr. Abeera Ali,"Gynecologist, Aesthetic Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 17,836,2500
Dr Uzma Almas,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecologist & obstetrician)",Year 17,1138,2500
Dr. Sabiha Nasir,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics),  Certified in Surgical Cosmetic Gynecology Techniques",Year 30,1138,3000
Prof. Dr. Saira Afghan,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gynecology & Obstetrics)",Year 30,1138,3000
Prof. Dr. Ghazala Bashir,"Fertility Consultant, Obstetrician, Gynecologist","MBBS, FCPS (Obstetrics & Gynecology), MCPS (Obstetrics & Gynecology)",Year 20,6,1000
Lt. Col (R) Assoc. Prof. Dr. Sadia Arif,"Gynecologist, Obstetrician","MBBS, DGO MCPS, FCPS, CHPE",Year 20,6,1000
Dr. Hira Khurram,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 35,6,3500
Dr. Shehla Noreen,"Gynecologist, Fertility Consultant","MBBS, MRCOG, Diploma in Infertility and IVF",Year 35,3,3500
Dr. Aisha Rabbani,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S. (Gynecology & Obstetrician)",Year 10,3,2500
Dr. Sania Amin,"Gynecologist, Obstetrician","MBBS, MCPS",Year 10,3,2500
Dr. Tayyaba Bashir,"Gynecologist, Obstetrician","M.B.B.S., M.C.P.S. (Gynecology & Obstetrics)",Year 12,257,3500
Dr. Areesha Kamran,"Gynecologist, Obstetrician","MBBS, MRCOG (UK), MCPS (Obstetrics & Gynaecology)",Year 12,257,3500
Dr. Shah Bibi,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 13,257,1500
Dr. Amna Najam,"Gynecologist, Obstetrician","CHPE, MBBS, FCPS (Obstetrics & Gynecology), MHPE",Year 13,632,1500
Dr. Beenish Khurram,"Gynecologist, Obstetrician","MBBS, FCPS, MHPE",Year 39,632,2500
Dr. Nausheen Qamar,"Gynecologist, Obstetrician","M.B.B.S., M.C.P.S",Year 39,632,2500
Prof. Dr. Nosheela Amjad,"Gynecologist, Obstetrician","MBBS, FCPS (Gynaecology & Obstetrics), CHPE",Year 33,1941,2000
Dr. Samina Irshad Ali,"Gynecologist, Obstetrician","MBBS, Diploma in Obstetrics & Women Health, Diploma in Minimal Invasive Surgery, Diploma In Obs/Gynae Ultrasound, Diploma In Advanced Laprosxopies, Diploma In Reproduction IVF",Year 33,1941,2000
Dr. Shumaila Maqsood,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrics), MD (USA)",Year 25,1941,2500
Dr. Moona Tufail,"Gynecologist, Obstetrician","M.B.B.S, M.C.P.S",Year 25,2,2500
Dr. Rubina Waqar,"Gynecologist, Obstetrician","MBBS, MCPS (Gynecology and Obstetrics)",Year 10,2,3500
Dr. Riffat Naz,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S, M.R.C.O.G, F.R.C.O.G (Gyne)",Year 10,2,3500
Dr. Zubia Zulfiqar,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 7,28,2500
Dr. Mehjabeen,"Gynecologist, Obstetrician","M.B.B.S, M.C.P.S (Gynecology & Obstetrician)",Year 7,28,2500
Dr. Anisa Saleem,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S. (Gynecology & Obstetrics)",Year 20,28,3000
Dr. Saira Lateef Mufti,"Gynecologist, Obstetrician","MBBS, MSPH, DIP(HCHM), FCPS (Gynecology & Obstetrician), Dip in Aesthetic Gynecology",Year 20,1291,3000
Dr. Humaira Noureen,"Gynecologist, Obstetrician","MBBS, DGO",Year 12,1291,2500
Dr. Ayesha Ghaffar,"Gynecologist, Obstetrician","MBBS, FCPS (Obstetrics & Gynecology)",Year 12,1291,2500
Dr. Hina Ayesha Nadeem,"Gynecologist, Obstetrician","MBBS, MCPS (Gynecology & Obstetrician)",Year 15,1327,2000
Dr. Huma Karamat,"Gynecologist, Obstetrician","M.B.B.S., F.C.P.S (Gynecology & Obstetrician)",Year 15,1327,2000
Dr. Gul Amber Benish,"Gynecologist, Obstetrician","M.B.B.S., M.S. (Gynecology & Obstetrics)",Year 14,1327,2000
Dr. Afshan Zaman,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrics)",Year 14,561,2000
Dr. Urooj Hina,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics), MRCOG (UK)",Year 10,561,3000
Dr. Sadia Irum,"Gynecologist, Obstetrician","MBBS, FCPS (Gynaecology & Obstetrics), Diploma in Gynaecology Laparoscopy Surgery",Year 10,561,3000
Dr. Shamaila Tanveer,"Gynecologist, Obstetrician","MBBS, FCPS (Obstetrics & Gynaecology)",Year 14,93,1000
Dr. Armghana Ali,"Gynecologist, Obstetrician","MBBS, FCPS (Gynaecology & Obstetrics)",Year 14,93,1000
Prof. Dr. Umber Jalil Bakhtiar,"Gynecologist, Obstetrician","M.B.B.S., M.C.P.S., F.C.P.S., P.G.D, P.E.T.M, J.M.P.H.E",Year 10,93,2000
Dr. Sadia Waqar,"Gynecologist, Obstetrician","M.B.B.S., FCPS (Gynecology & Obstetrician)",Year 10,1,2000
Dr. Majidah Zafar,"Gynecologist, Obstetrician","MBBS, F.C.P.S. (Gynecology & Obstetrician)",Year 19,1,1500
Dr. Bushra Babur,"Gynecologist, Obstetrician","MBBS, FCPS, MCPS",Year 19,1,1500
Dr. Amna Mahvish Haider,"Gynecologist, Obstetrician","MBBS, RMP, FCPS",Year 21,265,2500
Dr. Sabeen Aslam,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology & Obstetrics), MCPS (Gynecology & Obstetrics)",Year 21,265,2500
Dr. Humaira Sikander,"Gynecologist, Obstetrician","M.B.B.S., M.C.P.S. (Gynecology & Obstetrics)",Year 25,265,2500
Dr. Zara Jamali,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 25,3,2500
Dr. Amina Nadir,"Gynecologist, Obstetrician","M.B.B.S (Gold Medalist), F.C.P.S.",Year 10,3,3000
Dr. Shazia Nazir,"Gynecologist, Obstetrician","MBBS, FCPS (Gynaecology & Obstetrics)",Year 10,3,3000
Dr. Shamsun Nisa Sadia,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics), MCPS (Gynecology and Obstetrics)",Year 23,145,3000
Dr. Nida Afridi,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 23,145,3000
Dr. Rozina Majeed,"Gynecologist, Obstetrician","MBBS, FCPS",Year 35,145,2500
Dr. Maria Tasneem,"Gynecologist, Obstetrician","MBBS, FCPS",Year 35,16,2500
Prof. Dr. Zeba Munzar,"Gynecologist, Fertility Consultant, Obstetrician","MBBS, FCPS, MCPS",Year 31,16,1000
Dr. Shabnum Jaffri,"Gynecologist, Obstetrician","MBBS, MCPS (Gynecology & Obstetrician), MRCOG",Year 31,16,1000
Dr. Fakhira Shafique,"Gynecologist, Obstetrician","MBBS, MCPS (Obstetrics & Gynaecology), MSc Public Health, ICMT, Diploma in Family Medicine, PGD-DDU",Year 5,9,2000
