Doc_names,Specializations,Qualifications,Experiences,Reviews,Fees
Dr. Saddiqa Akhtar,"Gynecologist, Obstetrician","MBBS, FCPS (Gynecology and Obstetrics)",Year 12,469,1500
Dr. Faiza Iqbal,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gynecology & Obstetrics), Advance Diploma In Infertility (Germany), Advanced Course In Reproductive Medicine",Year 12,469,1500
Dr. Mussarat Bano,"Gynecologist, Obstetrician","MBBS, MCPS, MRCPI",Year 12,469,1000
Dr. Sarah Masood,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S (Gynecology & Obstetrics), MRCOG (UK), Diploma in Medical Diagnostic Ultrasound (MDU), Master Certification in ART and Reproductive Medicine (Germany), Master Certification in Laproscopy and Hysteroscopy",Year 12,934,1000
Dr. Amna Hassan,"Gynecologist, Obstetrician","MBBS, MPH, MBA, MS (Gynecology and Obstetrics)",Year 20,934,2500
Dr. Aymen Javed,"Gynecologist, Obstetrician","MBBS, FCPS (Obstetric & Gynecology)",Year 20,934,2500
Dr. Zartashia Samreen,"Gynecologist, Obstetrician","MBBS, FCPS (Obstetrics and Gynecology)",Year 15,3,2000
Prof. Dr. Nargis Iqbal,"Gynecologist, Obstetrician","MBBS, MCPS (Gynecology & Obstetric), MS (Gynecology & Obstetric)",Year 15,3,2000
Dr. Faryal Irfan,"Gynecologist, Obstetrician","MBBS, FCPS (Obstetric & Gynecology)",Year 14,3,2500
Dr. Tanzeela Rehman,"Gynecologist, Aesthetic Gynecologist","CMT, MBBS, FCPS ( Obs & Gynae)",Year 14,356,2500
Dr. Khola Zeeshan,"Gynecologist, Obstetrician","M.B.B.S, F.C.P.S",Year 15,356,3000
Dr. Rabia Mushtaq,"Gynecologist, Obstetrician","MBBS, MRCOG, FCPS, MCPS (Gynecology & Obstetrician)",Year 15,356,3000
Dr. Samina Anwar,"Gynecologist, Obstetrician","M.B.B.S,  F.C.P.S, M.R.C.O.G (UK), F.R.C.O.G (UK)",Year 25,19,5000
Prof. Dr. Fauzia Mannoo Khan,"Gynecologist, Fertility Consultant, Obstetrician","MBBS, MRCOG , FRCOG (UK)",Year 25,19,5000
