Doc_names,Specializations,Qualifications,Experiences,Reviews,Fees
Dr. Waleed Shahzad,Neurologist,"MBBS, FCPS Neurology",Year 11,120,3000
Assist. Prof. Dr. Samina Majeed,Neurologist,"MBBS, FCPS",Year 11,120,3000
Dr. Naveed Javed,"Neurologist, Psychiatrist","MBChB (UK), MD (Neuro - Medicine) USA, MRCPsych UK, PhD (Oxford) UK, Internationally Board - Certified Neuropsychiatrist, Post Doctoral in Neuroscience, Diplomate, American Board of Psychiatry & Neurology",Year 10,120,2500
Dr. Farheen Niazi,Neurologist,"M.B.B.S, F.C.P.S (Neurology), M.R.C.P. (Medicine) UK, S.C.E (Neurology) UK, Fellowship of the Europeon Board of Neurology (FEBN)",Year 10,22,2500
Assit. Prof. Dr. Ghulam Mujtaba,Neurologist,"M.B.B.S, F.C.P.S (Neurology)",Year 18,22,7000
Dr. Amir Zia,Neurologist,"MBBS, MD (Neurology)",Year 18,22,7000
Dr. Anum Irfan Abbasi,Neurologist,"MBBS, FCPS (Neurology)",Year 20,1992,5000
Dr. Anwar Muhammad Qureshi,Neurologist,"M.B.B.S, D.A.C (London), D.S.P.T, DPMNR, DFHC, M.D. Alternative Medicine , Diploma Neurology",Year 20,1992,5000
Dr. Faridullah Shah,"Neurologist, Internal Medicine Specialist","M.B.B.S., F.C.P.S. (Medicine), F.C.P.S. (Neurologist)",Year 10,1992,3500
Dr. Sarmad Ishtiaq,Neurologist,"MBBS, FCPS (Neurology)",Year 10,2598,3500
Dr. Muhammad Babar Khan,Neurologist,"MBBS, FCPS (Neurology), FCPS (Medicine), FRCP (Glasg)",Year 21,2598,3500
Prof. Dr. Rao Suhail Yasin Khan,Neurologist,"M.B.B.S, FCPS, FRCP",Year 21,2598,3500
Dr. Anam Anis,Neurologist,"M.B.B.S, F.C.P.S (Neurology)",Year 7,2257,3500
Dr. Riaz Mahmood,Neurologist,"MBBS, FCPS (Neurology), MCPS (Medicine)",Year 7,2257,3500
Col. (R) Dr. Zahid Rustam,"Neurologist, Rehab Medicine, Pain Management Specialist","MBBS, FCPS Physical medicine & rehabilitation, Diploma In Clinical Neurology  (UK), Dip. in Orthopedic Medicine (UK), Dip. in Geriatric/Elderly Care Medicine (UK), American Board of Clinical Neurophysiology, American Board of Electro-diagnostic Medicine,",Year 26,2257,3500
Dr. Husnain Hashim,Neurologist,"MBBS, MCPS (Medicine), FCPS (Neurology), FEBN, MSc. Stroke Medicine (Austria)",Year 26,28,3500
Dr. Ehsan Ur Rehman,Neurologist,"MBBS, M.D (Neurology)",Year 37,28,2500
Dr. Soban Khan,Neurologist,"MBBS, MD (Neurology)",Year 37,28,2500
Dr. Sidrah Nawaz,Neurologist,"M.B.B.S., F.C.P.S.",Year 10,392,3800
Dr. Mansoor Iqbal,Neurologist,"M.B.B.S., F.C.P.S. (Neurology)",Year 10,392,3800
Dr. Habib Ullah,Neurologist,"M.B.B.S ,  Dip. in Clinical Neurology, Fellowship in Neurology (Glasgow)",Year 35,392,1500
Dr. Batool Zahoor,Neurologist,"MBBS, FCPS (Neurology)",Year 35,388,1500
Dr. Waseem Shehzad,Neurologist,"M.B.B.S., F.C.P.S.",Year 32,388,2500
Dr. Amjad Ali Bukhari,Neurologist,"MBBS, DAB",Year 32,388,2500
Dr. Mohammad Tariq,Neurologist,MBBS,Year 7,3,3000
Dr. Muhammad Amjad,Neurologist,"MBBS, FCPS,MCPS",Year 7,3,3000
Dr. Muhammad Azhar Saeed,Neurologist,"MBBS, FCPS (PAK)",Year 25,3,2500
Dr. Raja Farhat Shoaib,Neurologist,"MBBS, FCPS",Year 25,368,2500
Dr. Wasim Tariq Malik,Neurologist,"MBBS, FCPS",Year 25,368,3500
Dr. Haris Majid,Neurologist,"MBBS, FCPS (Neurology)",Year 25,368,3500
Dr. Arsalan Ahmad,Neurologist,"M.B.B.S , F.C.P.S",Year 18,4097,2500
Dr. Waseem Tariq Malik,Neurologist,"MBBS,MCPS,FCPS",Year 18,4097,2500
Dr. M. Azhar Saeed,Neurologist,"M.B.B.S , F.C.P.S",Year 9,4097,2000
Dr. Qamar Zaman,Neurologist,"MBBS,MCPS,FCPS",Year 9,71,2000
