Doc_names,Specializations,Qualifications,Experiences,Reviews,Fees
Dr. Sana Fatima,Neurologist,"MBBS, FCPS (Neurology)",Year 11,23,2000
Dr. Muhammad Imran,Neurologist,"M.B.B.S., F.C.P.S. (Neurology)",Year 11,23,2000
Dr. Waqas Arshad,Neurologist,"M.B.B.S.(K.E), F.C.P.S.(Neurology), Certified in Movement Disorder & EEG (USA)",Year 11,23,4000
Dr. Sana Farooq,Neurologist,"M.B.B.S., F.C.P.S.",Year 11,1297,4000
Assoc. Prof. Dr. Shahid Mukhtar,Neurologist,"M.B.B.S., F.C.P.S. (Neurology)",Year 11,1297,4000
Assoc. Prof. Faheem Saeed,Neurologist,"MBBS, FCPS (Neurology), FRCP (London)",Year 11,1297,4000
Dr. Imad ud din Yousaf Butt,Neurologist,"MBBS (K.E), F.C.P.S. (Neurology)",Year 10,8716,3500
Dr. Muhammad Wajahat Gohar Qureshi,Neurologist,"MBBS, MD (Neurology)",Year 10,8716,3500
Dr. Nabeel Ahmad,Neurologist,"MBBS, MRCP, FEBN",Year 15,8716,3500
Dr. Shazia Sumrin,Neurologist,"MBBS, FCPS (Neurology)",Year 15,1916,3500
Assist. Prof. Dr. Muhammad Umer Farooq,Neurologist,"M.B.B.S., F.C.P.S. (Neurology)",Year 18,1916,3000
Dr. Hina Farhat,Neurologist,"M.B.B.S., F.C.P.S. (Neurology)",Year 18,1916,3000
Assist. Prof. Dr. Muhammad Ahmar,Neurologist,M.D (Neurology),Year 11,3826,4000
Dr. Ammar Yasir Chohan,Neurologist,"MBBS, FCPS (Neurology)",Year 11,3826,4000
Dr. Mamoona Tanwir Rana,Neurologist,"M.B.B.S., F.C.P.S. (Neurology)",Year 8,3826,3000
Associate. Prof. Dr. Ayesha Aslam,Neurologist,"M.B.B.S, F.C.P.S (Neurology), Fellowship European Board of Neurology(F.E.B.N)",Year 8,2250,3000
Dr. Syed Raza Hussain,Neurologist,"MBBS, FEBN (Fellowship of European Board of Neurology), F.C.P.S.",Year 5,2250,3000
Assist. Prof. Dr. Rashid Imran,Neurologist,"MBBS, FCPS (Neurology)",Year 5,2250,3000
Dr. Muhammad Arslan Tayyab,Neurologist,"MBBS, MD Neurology",Year 10,8094,2500
Dr. Hashir Amin Malik,Neurologist,"MBBS, MD (Neurology)",Year 10,8094,2500
Dr. Ihsan Ul Haq,Neurologist,"M.B.B.S., F.C.P.S. (Neurology)",Year 9,8094,2000
Dr. Ahmad Nawaz,Neurologist,"MBBS, FCPS (Neurology)",Year 9,29,2000
Dr. Ayesha Ashfaq,Neurologist,"M.B.B.S., Fellowship Of European Board Of Neurology",Year 6,29,3000
Dr. Rabbiyah Masood,Neurologist,"MBBS, FCPS (Neurolog)",Year 6,29,3000
Prof. Dr. Sajjad Naseer,Neurologist,"MBBS, FCPS (Neurology), MRCP (Ireland), MRCP (England), FRCP (UK), American Board Electrodiagnostic Medicine & neuromuscular disorder – Chicago (Illinois) USA , FRCP (Ireland)",Year 10,10,2500
Dr. Nadir Surani,Neurologist,"M.B.B.S., F.C.P.S. (Neurology)",Year 10,10,2500
Dr. Maida Ayub,Neurologist,"MBBS, FCPS (Neurology)",Year 11,10,2500
Dr. Arwa Humayun,Neurologist,"MBBS, FCPS (Neurology)",Year 11,90,2500
Prof. Dr. Mujeeb Ur Rehman Abid Butt,"Neurologist, Consultant Physician","MBBS (KE), MRCP(UK), FRCP(London ), SCE(Neurology-UK), F.C.P.S.",Year 10,90,3500
Assist. Prof. Dr. Madiha Malik,Neurologist,"M.B.B.S., F.C.P.S.",Year 10,90,3500
Dr. Adnan Mehmood,Neurologist,"MBBS, FCPS Neurology",Year 15,1220,4000
Dr. Abubakar Siddique,Neurologist,"MBBS, FCPS (Neurology), ASES-EMS, BSES, Certified in Neurocritical Care, Fellowship in Strok & Muscular Neurology, ASES-ED",Year 15,1220,4000
Dr. Ejaz Ahmad,"Neurologist, Consultant Physician","M.B.B.S, D.C.N",Year 7,1220,2500
Dr. Tipu Sultan,"Pediatric Neurologist, Neurologist","MBBS, FCPS (Peads Neuro), M.Sc (UK), Fellowship Child Neurology,Leeds (UK), Fellowship from Glasgow and Master in Epilepsy from Leeds UK",Year 7,861,2500
Prof. Dr. Shahid H. Sheikh,Neurologist,"MD, Ph.D (Neurology)",Year 17,861,2000
Dr. Athar Iqbal,Neurologist,"MBBS, FCPS ( Neurology), MRCP (UK), Fellowship in Stroke Medicine (London), DipUKMP(Liverpool school of Medicine)",Year 17,861,2000
Dr. Fahad Farooq,Neurologist,"MBBS, FEBN (Fellowship of the European Board of Neurology)",Year 14,190,2000
