Doc_names,Specializations,Qualifications,Experiences,Reviews,Fees
Dr. Usama Bin Zubair,"Psychiatrist, Counselor","MBBS, FCPS (Gold Medal) (Psychiatry), MRCPsych (UK), FJSPN (Japan), Certified DBT therapist and TMS provider",Year 12,2276,4000
Dr. Naveed Javed,"Neurologist, Psychiatrist","MBChB (UK), MD (Neuro - Medicine) USA, MRCPsych UK, PhD (Oxford) UK, Internationally Board - Certified Neuropsychiatrist, Post Doctoral in Neuroscience, Diplomate, American Board of Psychiatry & Neurology",Year 12,2276,4000
Dr. Samia Latif Khan,"Psychiatrist, Psychologist","MBBS, MS Clinical Psychology, MSc Applied Psychology, MCPS Pediatrics, MCPS Psychiatry, DCH",Year 18,2276,3000
Prof. Lt. Col. (R) Dr. Nadeem Ahmed Bajwa,Psychiatrist,"M.B.B.S, DPM (Psychiatry), F.C.P.S. (Psychiatry), Diploma in EMDR (UK) , Diploma in CBT (UK) , Fellowship in Psychiatry (Aus)",Year 18,1992,3000
Dr. Ammad Hassan,Psychiatrist,"MBBS, MCPS (Psychiatry), Cognitive Behaviour Therapy Course, Aid to Leprosy Patients Course",Year 31,1992,2000
Assist. Prof. Dr. Ibad Ul Haq,"Psychiatrist, Counselor","MBBS, FCPS (Psychiatry), CHPE",Year 31,1992,2000
Dr. Sabahat Hameed,Psychiatrist,"MBBS, MCPS (Psychiatry)",Year 25,5,5000
Dr. Tabassum Alvi,Psychiatrist,"MBBS, MCPS (Psychiatry), FCPS (Psychiatry)",Year 25,5,5000
Dr. Momina Asfandiyar,"Psychiatrist, Child and Adolescent Psychiatrist, Counselor","MBBS, MCPS-CT (Psychiatry & Drugs Rehabilitation)",Year 11,5,7000
Dr. Syed Mehboob Ali Shah,Psychiatrist,"M.B.B.S, F.C.P.S (Psychiatry)",Year 11,8327,7000
Dr. Filza Bashir,Psychiatrist,"M.B.B.S, M.C.P.S (Psychiatry)",Year 12,8327,5000
Col. (R) Dr. Masood Khokhar,Psychiatrist,"MBBS, FCPS (Psychiatry), MCPS (Health Profession Education)",Year 12,8327,5000
Dr. Asad Hussain,Psychiatrist,"MBBS, MRCPsych (UK)",Year 12,310,6000
Dr. Muhammad Azeem Rao,Psychiatrist,"M.B.B.S , F.C.P.S. (Psychiatry)",Year 12,310,6000
Dr. Mahpara Mazhar,Psychiatrist,"M.B.B.S., F.C.PS. (Psychiatry)",Year 16,310,5000
Dr. Anwar Ul Haq,Psychiatrist,"B.Sc, M.B.B.S, M.C.P.S (Psych)",Year 16,1439,5000
Dr. Farzana Niat,Psychiatrist,"MBBS, FCPS (Psychiatry)",Year 13,1439,3000
Dr. Khawaja Younas Orakzai,Psychiatrist,"MBBS, Diploma in Clinical Psychiatry, MCPS (Psychiatry)",Year 13,1439,3000
Dr. Aasma Kiyani,Psychiatrist,"MBBS, FCPS (Psychiatry)",Year 23,18,3000
Dr. Shahid Ali Khan,Psychiatrist,"MBBS, FCPS (psych)",Year 23,18,3000
Assist. Prof. Dr. Hafiz Sultan Muhammad,Psychiatrist,"M.B.B.S.	, F.C.P.S. (Psychiatrist)",Year 4,18,3000
Dr. Sahar Gul,Psychiatrist,"M.B.B.S, FCPS Psychiatry",Year 4,4440,3000
Assist. Prof. Dr. Abdul Hamid Choudary,Psychiatrist,"MBBS, MCPS (Psychiatry)",Year 40,4440,3000
Dr. Beena Mamoon,Psychiatrist,"M.B.B.S, MRCPsych (UK), DCP (Ireland)",Year 40,4440,3000
Dr. Aliya Khalid,Psychiatrist,"M.B.B.S., M.R.C.P. (Psychiatry)",Year 10,70,3000
Dr. M. Iqbal,Psychiatrist,"MBBS, MCPS",Year 10,70,3000
Dr. Asad Tamizuddin Nizami,Psychiatrist,"MBBS, MCPS, FCPS (Psychiatry)",Year 18,70,7000
Dr. Ijaz Ahmad,"Psychiatrist, Psychologist","M.B.B.S., M.S. Clinical Psychology, Dip in Psychiatry",Year 18,97,7000
Dr. Usman Ghani,Psychiatrist,"MBBS, FCPS (Psychiatry)",Year 13,97,2500
Dr. Rabbia Mushtaq,Psychiatrist,"M.B.B.S, F.C.P.S",Year 13,97,2500
Dr. Seniya Akhtar,Psychiatrist,"MBBS, MRCPsych",Year 35,95,3000
Assist. Prof. Dr. Azhar Ali,Psychiatrist,"M.B.B.S, F.C.P.S. (Psychiatary)",Year 35,95,3000
Dr. Shahid Akhtar Khan Yousafzai,Psychiatrist,"M.B.B.S, DCpsych (Ireland),  MS Clinical Psychiatry (UK), MRPsych (UK), MRPsych (AF.) (UK)",Year 8,95,3000
Dr. Asif Kamal Marwat,Psychiatrist,"M.B.B.S., F.C.P.S.",Year 8,24,3000
Dr. M. Habib,"Sexologist, Psychiatrist","MBBS, FACPS",Year 19,24,2500
Prof. Dr. Rizwan Taj,Psychiatrist,"MBBS, MRC Psych (UK)",Year 19,24,2500
Dr. Saira Bibi,Psychiatrist,"MSC CLINICAL PHYCOLOGY (PAK), PGCD (CLINICAL PHYCOLOGY)",Year 15,190,5000
Dr. Abdul Ghayoor Khan,Psychiatrist,,Year 15,190,5000
Dr. Majour Ubaid,Psychiatrist,,Year 19,190,5000
Dr. Nazo Wazir Jogezai,Psychiatrist,"MBBS, FCPS",Year 19,65,5000
