Doc_names,Specializations,Qualifications,Experiences,Reviews,Fees
Dr. Muhammad Atif Malik,Psychiatrist,"MBBS, Fellow of the College of Psychiatrists of South Africa",Year 33,69,5000
Dr. Khalid Rao,Psychiatrist,"MBBS, MCPS (Psychiatry)",Year 33,69,5000
Dr. Nusrat Habib Rana,Psychiatrist,"MD (China), MCPS (Pakistan), Ph.D (Spain), MSc. Affective Neurosciences (Italy), MPA, Dip. in Acupuncture (China)",Year 45,69,5000
Dr. Syed Muhammad Omer,Psychiatrist,"M.B.B.S, F.C.P.S (Psychiatry)",Year 45,152,5000
Dr. Ejaz Hussain,Psychiatrist,"MBBS, MD Psychiatry",Year 49,152,5000
Dr. Rana Nasir Ali Khan,Psychiatrist,"MBBS, FCPS (Psychiatry)",Year 49,152,5000
Dr. Kamran Ahmed,Psychiatrist,"MBBS, DPM (Psychiatry), Post Graduate Diploma in CBT (Cognitive Behavioural Therapy)",Year 16,516,5000
Dr. Abdul Haleem,Psychiatrist,"M.B.B.S, F.C.P.S.(Psychiatry)",Year 16,516,5000
Dr. Afrah Anwar,Psychiatrist,"MBBS, DPM (Gold Medalist), Post Graduate Diploma in CPT (Cognitive Behavioral Therapy)",Year 10,516,2000
Dr. Imran T. Hashmi,Psychiatrist,"MBBS, MD (Psychiatry), Philadephia (USA)",Year 10,513,2000
Dr. Samia Latif Khan,"Psychiatrist, Psychologist","MBBS, MS Clinical Psychology, MSc Applied Psychology, MCPS Pediatrics, MCPS Psychiatry, DCH",Year 12,513,3000
Assist. Prof. Dr. Muhammad Shoaib Zafar,Psychiatrist,"M.B.B.S, M.D. (Psychiatry), B.Sc, Addiction Specialist (UNODC)",Year 12,513,3000
Dr. Fur Haider,Psychiatrist,"M.B.B.S, F.C.P.S (Psychiatry)",Year 6,9,5000
Dr. Raees Ahmed,Psychiatrist,"MBBS, FCPS (Psychiatry)",Year 6,9,5000
Dr. Syed Ahmed Mahmud,Psychiatrist,"MBBS, MPhil (Behaviour Science)",Year 10,9,5000
Prof. Dr. Ayesha Rasheed,Psychiatrist,"MBBS, FCPS, MCPS, DPM, CMT",Year 10,456,5000
