Doc_names,Specializations,Qualifications,Experiences,Reviews,Fees
Dr. Muhammad Mohsin Ayaz,"Urologist, Andrologist, Male Sexual Health Specialist, Sexologist","MBBS, MRCS(UK), FCPS(Urology), CHPE, Dip(Sonology), CRSM(Sexology)",Year 9,1930,2000
Dr. Ghulam Ghous,"Urologist, Andrologist, Male Sexual Health Specialist, Sexologist","M.B.B.S, F.C.P.S",Year 9,1930,2000
Dr. Madiha Rehmani,Urologist,"MBBS, FCPS (Urology)",Year 11,1930,2500
Assist Prof. Dr. Shaheen Khan Bahadar Awan,"Urologist, Fertility Consultant","MBBS, MS (Urology Gold Medalist)",Year 11,3466,2500
Dr. Junaid Ishfaq Khawaja,"Urologist, Sexologist","M.B.B.S, F.C.P.S. (Urology)",Year 4,3466,2500
Prof. Dr. Fawad Nasrullah,"Urologist, Andrologist, Male Sexual Health Specialist, Sexologist","MBBS, FCPS (Urology) FICS (USA)",Year 4,3466,2500
Dr. Muhammad Hanan Yousaf,"Urologist, Pediatric Urologist","MBBS, FCPS (Urology)",Year 14,158,1500
Dr. Faizan Rizvi,"Urologist, Sexologist","MBBS, FCPS (Urology)",Year 14,158,1500
Dr. Muhammad Zaheer,"Urologist, Pediatric Urologist","M.B.B.S., F.C.P.S. (Urology)",Year 8,158,2000
Dr. Hafiz Abdul Momin,"Urologist, Male Sexual Health Specialist, Sexologist","MBBS, FCPS (Urology)",Year 8,1250,2000
Dr. Usama Muhammad Kathia,Urologist,"MBBS, FCPS Urology",Year 28,1250,1500
Dr. Shahid Qureshi,"Urologist, Pediatric Urologist, Male Sexual Health Specialist, Laser Specialist, Renal Surgeon, Endoscopic Surgeon, Sexologist","M.B.B.S., M.C.P.S, F.C.P.S., FACS (USA)",Year 28,1250,1500
Dr. Abrar Haider Chaudhary,"Urologist, Andrologist","MBBS, FCPS (Urology)",Year 7,748,1500
Dr. Salahuddin,"Urologist, Sexologist","M.B.B.S., F.I.C.S (USA), M.S (Pak)",Year 7,748,1500
Prof. Dr. Irfan Nazir,"Urologist, Andrologist, Male Sexual Health Specialist, Sexologist","M.B.B.S, F.C.P.S (Urology), F.A.C.S. (USA)",Year 9,748,4000
Dr. Muhammad Raheem Sajjad,Urologist,"MBBS, FCPS (Urology)",Year 9,2681,4000
Dr. Usama Nawaz Ghumman,"Urologist, Andrologist","MBBS(Kemu), FRCS Urology (England), MD (USA), Fellowship in Genito-Urethral Reconstruction (England)",Year 9,2681,4000
Dr. Khalil Ahmad,"Urologist, Male Sexual Health Specialist, Sexologist","MBBS, MS (Urology)",Year 9,2681,4000
Dr. Obaid Ur Rehman,Urologist,"MBBS ( K.E.M.U), FCPS ( Urology )",Year 13,61,4000
Dr. Fawad Humayun Akhtar,"Urologist, Pediatric Urologist","M.B.B.S., F.C.P.S. (Urology)",Year 13,61,4000
Dr. Muhammad Zahid Ahmad,"Urologist, Male Sexual Health Specialist, Sexologist","MBBS, FCPS, FICS",Year 8,61,3000
Dr. Asif Shahzad,Urologist,"M.B.B.S., F.C.P.S. (Urology)",Year 8,631,3000
Dr. Shamim Hashim,"Urologist, Andrologist, Sexologist","MBBS, FRCS (Ireland), Dip. in Laparoscopic Surgery (France)",Year 12,631,3000
Dr. Bilawal Sattar Butt,Urologist,"MBBS, MS (Urology)",Year 12,631,3000
Dr. Muhammad Sohail,"Urologist, Male Sexual Health Specialist, Endoscopic Surgeon","M.B.B.S., M.S (Urology)",Year 7,624,3000
Dr. Irfan Ahmed,"Uro-Oncologist, Urologist","M.B.B.S, F.R.C.S (UK), Dip. In Urology (London)",Year 7,624,3000
Dr. Maisam Ali Shahid,"Urologist, Male Sexual Health Specialist, Sexologist","MBBS, FCPS (Urology)",Year 11,624,1350
Dr. M. Imran Khadim,Urologist,"MBBS, MS (Urology)",Year 11,2808,1350
Prof. Dr. Muhammad Farooq,"General Surgeon, Andrologist, Male Sexual Health Specialist, Laparoscopic Surgeon, Sexologist, Urologist","M.B.B.S,  F.C.P.S. (Surgery), F.C.P.S (Urology)",Year 21,2808,2500
Dr. Ghazanfar Rafeq,Urologist,"MBBS, FCPS (Urology)",Year 21,2808,2500
Dr. Abdul Rauf,"Urologist, Male Sexual Health Specialist, Kidney Transplant Surgeon","MBBS, FCPS (Urology)",Year 11,13,2000
Dr. Muhammad Ammar,"Urologist, Sexologist","M.B.B.S., F.C.P.S (Urology)",Year 11,13,2000
Dr. Muhammad Ejaz Siddiqui,"Andrologist, Male Sexual Health Specialist, Sexologist, Urologist","MBBS, FCPS, MCPS",Year 10,13,2000
Dr. Hafiz M. Asad Ur Rehman,"Urologist, Pediatric Urologist, Andrologist","M.B.B.S., F.C.P.S.",Year 10,3368,2000
Assist. Prof. Dr. Naseem Javed,"Pediatric Urologist, Sexologist, Urologist","MBBS, FCPS (Urology)",Year 18,3368,3000
Dr. Muhammad Arsalan Butt,"Urologist, Andrologist, Male Sexual Health Specialist","MBBS, MS (Urology)",Year 18,3368,3000
Dr. Saad Ali Khan,Urologist,"MPH, MS (Urology), M.B.B.S.",Year 9,235,3000
Dr. Muhammad Fayyaz,"Urologist, Pediatric Urologist, Sexologist","MBBS, Certified in Robotic & Transplant Surgery, FCPS (Urology) (SIUT)",Year 9,235,3000
Brig.(R) Dr. Muhammad Ramzan Ch,"Urologist, Andrologist, Male Sexual Health Specialist","M.B.B.S., F.C.P.S. (Urologist), F.I.C.S., Dip. In Urology",Year 10,235,2000
Dr. Tanweer Ahmed Naveed Bhatti,Urologist,"MBBS, MCPS, FRCS",Year 10,527,2000
Assist. Prof. Dr. Rana Muhammad Iqbal,"Urologist, Andrologist, Kidney Transplant Surgeon","M.S. Urology, M.B.B.S.",Year 16,527,1500
Dr. Azfar Ali,Urologist,"MBBS, MCPS, FCPS (Urology)",Year 16,527,1500
Dr. Safdar Ali Shah,"Urologist, Andrologist, Kidney Transplant Surgeon, Sexologist","MBBS, FCPS (Urology), MS (Urology), FRCS (Edinburgh)",Year 17,4387,2000
Dr. Muhammad Ahad Pervaiz,"Urologist, Sexologist, Male Sexual Health Specialist","MBBS, FCPS (Urology), MRCPS (Glasg)",Year 17,4387,2000
